binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.077 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.676 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.648 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.719 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.709 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.605 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.573 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.616 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.556 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.562 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.274 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.334 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.901 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.862 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.729 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.659 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.697 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.706 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.68 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.733 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.825 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.757 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.75 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.727 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.998 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  3.514 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.899 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.13 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.129 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.915 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  3.324 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.689 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.793 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  6.377 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  7.671 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.743 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  4.346 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  2.296 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  3.83 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.687 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.221 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.06 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.087 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.893 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.073 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.732 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.652 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.711 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.642 
k-nucleotide ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.107 
k-nucleotide ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.027 
